iter	Passed	Remaining
426	1601	2149
427	1604	2143
428	1607	2139
429	1610	2134
430	1612	2128
431	1614	2123
432	1617	2117
433	1620	2112
434	1624	2109
435	1626	2104
436	1629	2098
437	1634	2096
438	1636	2091
439	1639	2086
440	1641	2080
441	1644	2075
442	1646	2070
443	1649	2066
444	1652	2061
445	1655	2055
446	1659	2052
447	1662	2048
448	1665	2044
449	1669	2040
450	1671	2034
451	1674	2029
452	1678	2026
453	1682	2022
454	1686	2019
455	1692	2018
456	1695	2014
457	1698	2009
458	1700	2004
459	1703	1999
460	1706	1995
461	1710	1991
462	1713	1987
463	1716	1983
464	1721	1980
465	1724	1975
466	1726	1970
467	1729	1966
468	1732	1961
469	1736	1958
470	1739	1953
471	1742	1948
472	1745	1944
473	1750	1941
474	1752	1936
475	1755	1932
476	1758	1927
477	1761	1923
478	1765	1920
479	1768	1915
480	1771	1911
481	1773	1906
482	1776	1901
483	1779	1897
484	1783	1893
485	1785	1888
486	1789	1884
487	1793	1881
488	1796	1877
489	1799	1873
490	1802	1868
491	1807	1866
492	1811	1862
493	1814	1858
494	1816	1853
495	1819	1849
496	1824	1846
497	1827	1842
498	1831	1839
499	1836	1836
500	1840	1833
501	1843	1829
502	1846	1824
503	1850	1821
504	1854	1818
505	1863	1818
506	1867	1816
507	1871	1812
508	1875	1808
509	1877	1804
510	1881	1800
511	1885	1796
512	1887	1792
513	1890	1787
514	1893	1783
515	1896	1779
516	1901	1776
517	1904	1771
518	1906	1767
519	1910	1763
520	1913	1759
521	1916	1754
522	1918	1750
523	1921	1745
524	1925	1741
525	1928	1737
526	1932	1734
527	1936	1730
528	1943	1730
529	1945	1725
530	1948	1721
531	1951	1716
532	1956	1714
533	1960	1710
534	1963	1706
535	1965	1701
536	1967	1696
537	1971	1692
538	1974	1688
539	1977	1684
540	1980	1679
541	1984	1676
542	1987	1672
543	1990	1668
544	1993	1664
545	1998	1661
546	2001	1657
547	2004	1653
548	2007	1648
549	2010	1644
550	2016	1642
551	2019	1639
552	2022	1634
553	2025	1630
554	2033	1630
555	2035	1625
556	2039	1621
557	2043	1618
558	2047	1615
559	2050	1611
560	2053	1606
561	2058	1604
562	2063	1601
563	2066	1597
564	2069	1593
565	2074	1590
566	2077	1586
567	2080	1581
568	2082	1577
569	2085	1573
570	2089	1569
571	2092	1566
572	2095	1561
573	2097	1556
574	2101	1553
575	2104	1549
576	2107	1544
577	2111	1541
578	2115	1537
579	2118	1534
580	2121	1530
581	2124	1526
582	2127	1521
583	2132	1519
584	2135	1515
585	2139	1511
586	2142	1507
587	2150	1506
588	2153	1503
589	2157	1499
590	2163	1497
591	2167	1493
592	2170	1489
593	2173	1485
594	2179	1483
595	2182	1479
596	2186	1476
597	2192	1473
598	2195	1470
599	2199	1466
600	2201	1461
601	2213	1463
602	2216	1459
603	2221	1456
604	2225	1452
605	2228	1448
606	2230	1444
607	2234	1440
608	2237	1436
609	2239	1431
610	2242	1427
611	2245	1423
612	2248	1419
613	2252	1416
614	2255	1411
615	2258	1407
616	2260	1403
617	2266	1400
618	2268	1396
619	2271	1392
620	2273	1387
621	2276	1383
622	2282	1381
623	2285	1377
624	2287	1372
625	2290	1368
626	2295	1365
627	2298	1361
628	2300	1357
629	2303	1352
630	2305	1348
631	2310	1345
632	2313	1341
633	2315	1336
634	2318	1332
635	2320	1328
636	2324	1324
637	2327	1320
638	2330	1316
639	2332	1312
640	2335	1307
641	2339	1304
642	2342	1300
643	2345	1296
644	2348	1292
645	2350	1288
646	2354	1284
647	2357	1280
648	2360	1276
649	2362	1272
650	2365	1267
651	2369	1264
652	2372	1260
653	2374	1256
654	2377	1252
655	2379	1247
656	2382	1243
657	2385	1239
658	2387	1235
659	2391	1231
660	2394	1227
661	2397	1224
662	2401	1220
663	2403	1216
664	2406	1212
665	2409	1208
666	2413	1205
667	2416	1200
668	2418	1196
669	2421	1192
670	2423	1188
671	2427	1184
672	2430	1180
673	2432	1176
674	2435	1172
675	2438	1168
676	2443	1165
677	2447	1162
678	2451	1158
679	2454	1155
680	2457	1151
681	2460	1147
682	2463	1143
683	2465	1139
684	2468	1135
685	2471	1131
686	2474	1127
687	2477	1123
688	2480	1119
689	2483	1115
690	2487	1112
691	2490	1108
692	2493	1104
693	2496	1100
694	2499	1096
695	2502	1093
696	2505	1089
697	2508	1085
698	2510	1081
699	2513	1077
700	2516	1073
701	2520	1069
702	2523	1065
703	2525	1062
704	2529	1058
705	2533	1054
706	2535	1050
707	2538	1046
708	2540	1042
709	2543	1038
710	2546	1035
711	2549	1031
712	2551	1027
713	2554	1023
714	2557	1019
715	2569	1019
716	2571	1015
717	2574	1011
718	2577	1007
719	2580	1003
720	2583	999
721	2585	995
722	2587	991
723	2591	987
724	2593	983
725	2596	979
726	2598	975
727	2601	971
728	2603	967
729	2606	964
730	2609	960
731	2612	956
732	2614	952
733	2616	948
734	2619	944
735	2623	940
736	2626	937
737	2628	933
738	2630	929
739	2633	925
740	2636	921
741	2639	917
742	2641	913
743	2644	909
744	2646	905
745	2650	902
746	2654	898
747	2657	895
748	2659	891
749	2662	887
750	2667	884
751	2670	880
752	2672	876
753	2675	873
754	2679	869
755	2682	865
756	2685	862
757	2688	858
758	2691	854
759	2694	850
760	2698	847
761	2700	843
762	2703	839
763	2705	835
764	2709	832
765	2713	828
766	2717	825
767	2721	822
768	2725	818
769	2729	815
770	2732	811
771	2735	807
772	2738	804
773	2742	800
774	2745	796
775	2747	793
776	2750	789
777	2757	786
778	2760	783
779	2762	779
780	2766	775
781	2772	772
782	2775	769
783	2778	765
784	2785	762
785	2789	759
786	2793	755
787	2796	752
788	2803	749
789	2808	746
790	2815	743
791	2819	740
792	2825	737
793	2829	734
794	2833	730
795	2837	727
796	2841	723
797	2847	720
798	2850	717
799	2854	713
800	2860	710
801	2865	707
802	2869	703
803	2872	700
804	2875	696
805	2879	693
806	2883	689
807	2888	686
808	2892	683
809	2897	679
810	2901	676
811	2903	672
812	2906	668
813	2909	664
814	2911	660
815	2915	657
816	2919	653
817	2922	650
818	2927	646
819	2930	643
820	2933	639
821	2935	635
822	2938	631
823	2940	628
824	2944	624
825	2947	620
826	2950	617
827	2953	613
828	2956	609
829	2959	606
830	2963	602
831	2967	599
832	2969	595
833	2973	591
834	2976	588
835	2980	584
836	2984	581
837	2988	577
838	2991	574
839	2995	570
840	2999	567
841	3004	563
842	3008	560
843	3011	556
844	3015	553
845	3019	549
846	3022	546
847	3026	542
848	3030	538
849	3034	535
850	3036	531
851	3039	527
852	3041	524
853	3043	520
854	3046	516
855	3049	512
856	3051	509
857	3053	505
858	3055	501
859	3057	497
860	3060	494
861	3064	490
862	3068	487
863	3072	483
864	3078	480
865	3080	476
866	3082	472
867	3085	469
868	3087	465
869	3091	461
870	3093	458
871	3096	454
872	3098	450
873	3100	447
874	3103	443
875	3107	439
876	3109	436
877	3111	432
878	3113	428
879	3116	424
880	3118	421
881	3122	417
882	3125	414
883	3128	410
884	3130	406
885	3134	403
886	3138	399
887	3141	396
888	3144	392
889	3147	388
890	3152	385
891	3155	382
892	3158	378
893	3161	374
894	3165	371
895	3171	368
896	3175	364
897	3179	361
898	3186	357
899	3190	354
900	3195	351
901	3201	347
902	3206	344
903	3210	340
904	3214	337
905	3218	333
906	3221	330
907	3227	327
908	3231	323
909	3235	319
910	3237	316
911	3242	312
912	3246	309
913	3250	305
914	3255	302
915	3258	298
916	3263	295
917	3267	291
918	3270	288
919	3272	284
920	3275	280
921	3277	277
922	3280	273
923	3283	270
924	3286	266
925	3288	262
926	3291	259
927	3293	255
928	3298	252
929	3301	248
930	3303	244
931	3306	241
932	3308	237
933	3314	234
934	3317	230
935	3321	227
936	3325	223
937	3330	220
938	3333	216
939	3336	212
940	3340	209
941	3345	205
942	3349	202
943	3353	198
944	3358	195
945	3360	191
946	3363	188
947	3365	184
948	3368	181
949	3371	177
950	3374	173
951	3376	170
952	3379	166
953	3381	163
954	3383	159
955	3387	155
956	3389	152
957	3392	148
958	3394	145
959	3396	141
960	3399	137
961	3405	134
962	3407	130
963	3410	127
964	3412	123
965	3416	120
966	3418	116
967	3421	113
968	3423	109
969	3426	105
970	3428	102
971	3433	98
972	3436	95
973	3439	91
974	3441	88
975	3445	84
976	3448	81
977	3451	77
978	3455	74
979	3457	70
980	3461	67
981	3464	63
982	3466	59
983	3471	56
984	3475	52
985	3478	49
986	3481	45
987	3485	42
988	3490	38
989	3493	35
990	3495	31
991	3497	28
992	3500	24
993	3503	21
994	3524	17
995	3526	14
996	3530	10
997	3533	7
998	3536	3
999	3539	0
